name,address,birthdate,phone
Beth Collins,2212 S Park St,1994-03-20,707-558-9036
Sara Reeves,146-7 230th Pl,1965-10-08,838-535-4689
Anthony Hicks,329 E Fordham Rd,1957-01-01,212-963-6735
Melissa Nicole Hawkins,4242B Baychester Ave,1996-06-10,516-763-0820
John Abbott,491A E 89th St,1962-10-06,838-695-2618
Alexander Murphy Jr.,119-5 146th St,1982-12-29,585-721-5682
Jason Browning,3462 Willow Rd SE,1951-04-07,619-849-7879
Morgan Herrera,131 Grand St,1983-09-23,315-267-7456
David Hill,4951 Park Pl,1980-02-01,732-643-9720
Tammy Houston,4148 N Park Pl,1999-07-04,216-937-0321
Steven Baker,3620 Lee Pl NW,1952-05-31,434-853-6773
Jeremy Burgess,155-51 Rockaway Beach Blvd,1994-09-10,516-349-3289
Kelly Pope,188E Ft Hamilton,1994-02-21,838-874-8624
Nancy Davis,96 Norfolk St,1960-08-29,516-848-7050
Stacy Day,522 NW Park St,1959-02-20,619-667-1726
Rickey Patton,61-26 77th St,1996-12-11,516-627-2006
Tammy Nelson,321 Vineland Ave,1973-05-23,929-715-7490
James Davis,998 W 5th Dr,1963-01-25,801-801-0068
John Gill III,2 Bushwick Ct,1989-01-04,347-250-6591
Raymond House V,660A Van Duzer St,2000-09-09,607-982-1214
Martin Mcgee,2170 W 9th Ave,1999-11-12,585-849-6137
Victoria Weeks,240½ Penn St,1962-11-02,516-222-5139
Christopher Garcia,16½ W 75th St,1942-04-30,716-263-0817
Justin Wilson,802 Bartholdi St,1991-01-09,838-230-4794
James Beck,21 Cooper Pl,1954-01-01,680-587-4896
Tammy Brown,1293 Park Way NW,1993-09-25,732-697-5609
Luis Williams Jr.,980B Jerome Ave,1960-10-12,680-904-0490
James Johnson,73-20 168th St,1961-02-20,680-361-5572
Katherine Page,158 W 74th St,1972-12-29,516-911-8689
Ryan Henderson,1943 Park St,1990-05-26,347-277-7946
Hannah Kari Hartman,2918 NW 6th Ave,1989-01-23,408-223-7422
Keith Cobb,1204A Lexington Ave,1995-09-07,332-273-6129
Leonard Hoffman,3434 Newkirk Ave,1976-12-18,838-725-4506
Brooke Arroyo,1733 72nd St,1970-11-29,838-777-7399
Christian Manning,2376 S Park Pl,1998-10-16,803-935-5644
Kimberly Williams,1709 Vyse Ave,1965-03-05,838-358-0209
Joseph Romero,1031A Clay Ave,1979-03-17,516-986-1372
Sherry Smith,2153 Park Dr SW,1997-06-20,347-960-4681
Zachary Arnold,74-26 267th St,1952-08-12,716-279-2861
Lindsay Boyer,2600 W 15th St,1978-12-04,212-409-1414
Thomas Garcia,141 Branton St,1961-03-15,716-268-5311
Robert Mejia,372-1 Willow Rd E,1998-10-18,631-961-3677
Tyler Gomez,3896 Waldo Ave,1981-06-22,585-794-1432
Leslie Duncan,99-34 200th St,1985-10-23,332-805-4883
Steven White,309 N Park Ave,1961-02-22,510-396-8689
Jennifer Kline,273C W 22nd St,1948-01-29,680-297-2055
Kathryn Burns,129 Park St S,1986-08-11,702-600-5595
Mark Davis,4694 Willow Rd,1951-09-21,818-584-5684
Zachary Molina,276A Senator St,1985-03-12,917-317-8468
Melissa Pugh,763 Aspen St,1975-04-25,970-948-2921
Rebecca Jones,735 NW Park Dr,1964-10-19,636-525-7842
Megan Thompson,140-1 Linden St,1954-10-27,585-659-6093
Mary Butler,3794 Dogwood St SE,1993-05-10,470-897-1995
Jacob Soto,179-48 75th Ave,1939-02-01,516-570-4471
Dean Harris,1680A Nelson Ave,1960-11-17,212-992-9435
Melissa Hart,2891 E 3rd Ln,2000-02-25,704-965-5616
Daniel Kennedy,145-26 114th St,1984-07-13,838-765-9593
Scott Johnson,9223 Skidmore Ave,1960-03-04,607-270-9041
Brad Byrd,210-11 41st Ave,1989-02-16,516-298-9615
Jennifer Campbell,118-12 232nd St,1960-07-13,718-959-9938
Mark Garcia,96-49 102nd St,1987-10-06,516-428-6281
Nicholas Hoffman,152-82 110th Ave,1994-01-24,332-848-0062
Kimberly Weber,71-72 Calamus Ave,1962-06-10,716-700-6862
Amber Price,45-16 168th St,1996-09-30,516-373-6186
Kevin Stewart,3080A Grand Concession,1959-10-09,838-396-4648
Beth Cynthia Padilla,223-48 Murdock Ave,1957-12-28,516-246-8905
William Smith,105-48 Pinegrove St,1999-02-24,516-779-2386
Patricia Collins,106-36 65th Ave,1956-03-20,838-985-5293
Jeremy Kemp,81-52 54th Ave,1963-02-05,315-566-7813
Darlene Lopez,94-12 40th Dr,1968-07-15,585-370-8742
Melanie Beltran,2360 Aspen St,1940-09-11,983-538-7859
Michelle Pollard,332 Ave P,1984-09-25,315-822-1450
Alfred White,4779 33rd Rd,1974-11-22,786-674-9328
Tyler Mendoza,870 Brinsmade Ave,1958-03-14,585-209-2210
Robert Mcdonald,2596 13th St,1993-12-09,561-300-3688
Kristina Olson,296 Murray St,1961-08-19,315-876-4254
Christopher Farrell,2878 95th Ln,1968-12-29,710-613-0657
Lauren Manning,256½ E 50th St,1954-01-23,516-961-3900
Vanessa Jones,41-19 91st Ave,1958-06-13,516-840-1216
Matthew King,75-31 Jamaica Ave,1987-08-09,585-980-9331
Patrick Stokes,596A W 145th St,1995-05-13,914-664-3393
Gabrielle Saunders,45 Clark St,1984-11-06,838-980-9795
Danielle Rodriguez,232B Greenpoint Ave,1971-02-19,516-342-0091
Eric Walker,4202 2nd Ave NE,1967-04-17,618-770-3325
Sam Watkins,66A 2nd Ave,1956-11-08,516-674-9806
Joanna Kimberly Golden,4171 Park St,1955-09-03,551-268-2180
Eric Mendoza,123½ Troutman St,1980-09-10,646-248-2493
Richard Reese,117 Lott St,1987-03-09,585-224-9902
Keith Young,4498 S 10th Pl,1946-01-23,448-208-4315
Bruce Benson,1387 Ave P,1959-10-01,585-912-5952
Michael Brown Jr.,144 Lafayette Ave,1936-01-30,838-994-7260
Amy Dominique Lopez,1836 51st St,2000-04-30,838-522-8339
Stephen Velez,103 W 57th St,1947-05-09,516-671-7701
Michelle Parks,3886 SE Maple Ave,1943-08-28,445-313-4915
Loretta Phillips,92-3 95th Ave,1962-06-01,516-360-1011
Carrie Cantrell,279 Central Park W,1945-01-02,680-988-6153
Brenda Smith,35-5 28th Ave,1948-12-03,315-218-3681
John Reed,2416 Valentine Ave,1988-12-22,315-528-9847
Steven Miles,2948 Brighton 4th St,1948-06-27,929-402-9293
Elizabeth Peterson,345 Hoyt St,1943-04-14,845-473-2877
Alexandra Miller,380 63rd St,1996-01-13,838-669-6339
Kevin Rubio,398 E 89th St,1970-10-11,934-731-6780
Christina Savage,503 Beach 69th St,1977-05-31,838-586-8894
Charles Schwartz,1029 Ave T,1995-04-05,716-564-4211
Alan Simon II,649A Wilson Ave,1990-07-05,607-558-3677
Kristin Harris,2362 Dogwood Ln NW,1979-11-04,678-682-3552
Mallory Rogers,286 E 84th St,1969-05-11,631-671-7575
Richard Parsons,3981½ White Plains Rd,1978-10-04,680-981-1628
Ronald Richardson,2245D Jerome Ave,1962-05-05,838-287-7269
Laura Hill,3921B Paulding Ave,1957-10-04,934-895-8127
Colleen Smith,2582 Park Rd,1957-05-08,253-391-3309
Dustin Mercer,1753 Coney Island Ave,1969-06-18,315-437-6084
John Walker,1643 2nd Ave,1958-06-26,716-723-8976
John Wright,661 Ave Of The Americas,1960-03-27,646-518-0388
Brett Diaz,1749 E 3rd St,2000-07-30,838-631-7794
Jeanette Lawson,2037 Newkirk Ave,1957-12-08,929-362-2365
Lisa Riggs,2506 Adam Clayton Powell Jr Blvd,1969-03-15,315-640-9415
Monique Lewis,407A E 118th St,1966-03-19,838-651-0162
Jean Hayes,71B Fountain Ave,1986-12-06,315-306-1879
Sara Ward,83 Kosciuszko St,1951-10-07,929-590-3712
Brittany Cooper,1445A E Tremont Ave,1960-07-26,518-749-0829
Frank Harding,59½ E 74th St,1989-05-08,315-710-2601
John Clarke,189 Ardmore Ave,1975-02-06,516-338-3885
Bradley Barrera,2765 SE Park Ave,1994-10-23,563-780-4612
Jeffrey Johnson,385½ E 74th St,1984-08-06,516-810-7590
Danny Wilson,2872 E 196th St,1981-03-15,838-907-6558
Ricky Elliott,2496A Mickle Ave,1986-03-03,838-633-3008
Ryan Griffin,204A Delancey St,1994-06-23,315-905-9121
John Phillips,806A E 230th St,1968-04-26,716-900-2422
Steve Sanchez,85-22 56th Ave,1993-12-20,934-468-7375
Thomas Hansen,549 Argyle Rd,1975-08-15,585-386-7658
Lauren Pham,184 Clinton St,1994-05-01,914-400-1168
Ryan Bass,97-45 66th Rd,1962-12-18,585-200-7513
Colin Cuevas,663B E 221st St,1999-08-04,914-841-5747
Jason Morales,1862 Mermaid Ave,1984-03-11,332-559-4292
Sara Nichols,100-51 Alstyne Ave,1970-02-05,212-624-7720
Kathleen Boyd,77-29 Rockaway Blvd,1972-12-15,516-517-8263
Joyce Mckinney,66-63 61st St,1971-09-26,516-872-2716
Michael Carrillo,1960 SE 3rd Rd,1992-06-05,239-831-0748
Nathan Weiss,272 E 146th St,1998-02-09,585-400-9737
Aaron Nguyen,249 SW Dogwood Ave,1961-12-13,910-504-6982
Deanna Carr,276 Pelton Ave,1974-03-26,838-668-4124
Maria Davis,96-47 189th St,1986-08-15,838-672-9918
Patrick Black,572 7th Ln E,1957-11-01,279-721-2326
Jerry Sanders,4216 W Maple Dr,2000-05-07,517-546-4709
David Carr,21-30 48th St,1963-11-13,315-581-0659
Kelsey Thompson,1142 N 4th Way,1955-10-29,575-911-8992
Joshua Gonzalez,134-54 Rockaway Beach Blvd,1961-12-17,646-447-7437
Evan Larson,237 Ave P,1999-04-15,914-382-7630
Caitlyn Cox,3566 8th Pl,1954-05-25,564-963-1723
Edward Fernandez,1862 Ave L,1962-06-26,917-510-9548
Donald Hart,140-2 133rd Ave,1998-10-15,315-383-6919
Gary Ritter,1642 Seddon St,1991-08-21,838-484-8988
Edward Bell,3503 2nd Ln W,1975-08-10,301-791-1367
Harold Collier,808 SW 4th Pl,2001-06-09,605-747-5501
Steven York,1991 Dogwood St W,1996-08-22,615-801-4076
Amy Rivas,47 Rear Ryerson St,1975-08-13,516-859-8768
Julie Page,462 Rear E New York Ave,1990-01-25,332-864-1901
Thomas Torres,4884A Broadway,1983-04-14,516-387-2056
Alison Davis,1982 Park Ave N,1977-03-07,209-629-5338
Brenda White,102-5 32nd Ave,1954-07-11,315-357-2177
Sarah Reyes,570 Katan Ave,1969-03-22,914-887-4191
Molly Rivera,954 Patterson Ave,1987-01-19,315-756-3781
Walter Ball,144-21 119th Ave,1967-09-16,680-479-4298
Nicole Medina,316A 23rd St,1985-10-09,516-546-5528
Tony Olson,81 55th Ln,1975-04-06,771-681-5862
Emily Andrews,1677 E Park Way,1994-08-20,510-625-1673
Mary Green,3314 Nostrand Ave,2000-08-15,838-633-1106
Sarah Hernandez,986 10th Way,1951-06-26,682-287-2999
Erica Shaw,324-84 Seagirt Blvd,1968-06-17,631-702-1307
Sam Tannenbaum,221 Banker St,1994-09-13,826-636-2286
David Cummings,2599 SE Park Pl,2000-05-13,346-235-3578
Kenneth Holland,4395 Kansas Dr SE,1985-09-15,913-864-9897
James Davis,1031B Grant Ave,1974-09-03,914-559-9477
Gary Montgomery,2559D Knapp St,1955-02-06,332-420-4868
Kevin Gonzalez,109 E 115th St,1975-10-08,646-473-7705
Dennis Stewart,4199B Hylan Blvd,1985-07-26,607-602-4902
Micheal Hebert,2765A Cortelyou Rd,1960-03-29,585-990-2467
Bruce Shepherd,721 SE Main Dr,1937-04-13,806-587-1532
Ryan Perez,1361A St Nicholas Ave,1943-04-06,914-935-1464
Paul Martinez IV,2849 N Park Dr,1979-01-26,714-505-2101
William Foster,34-7 89th St,1954-01-25,845-960-8828
Jessica Trevino,67-31 51st Rd,1986-10-28,212-208-0548
Angela Freeman,167 Locust Ave,1957-09-07,914-759-1690
William Hooper,3710 2nd Way E,1988-09-05,229-528-3326
John Romero,655 59th St,1989-07-10,518-518-6255
Rachael Mahoney,203A 5th St,1964-09-21,516-623-6644
Melissa Gray,1044B Castle Hill Ave,1946-06-27,585-732-7166
Jeffrey Mora,2030 W Park Ln,1965-02-11,925-959-9981
Jonathan Ford,99-60 Francis Lewis Blvd,1982-07-30,516-731-4447
Andrew Simon,253 S Main Pl,1983-05-04,385-378-9116
Dale Nunez,118-33 232nd St,2000-10-01,315-757-8293
Dana Burke,1003B Southern Blvd,1968-06-20,838-962-3197
Charles Wells,155 Rear Spring St,1997-09-01,914-415-4374
Glenn Wolfe,437B Pulaski St,1969-04-02,716-622-1529
George Brown,1442½ Richmond Rd,1953-11-08,607-337-8475
Justin Thompson,175-31 Sunbury Rd,1973-10-13,631-792-6265
Jack Kaufman,65 Rear Spring St,1961-09-27,914-504-5090
Maria Cunningham,106-9 67th Dr,1986-11-15,838-998-4340
Gregory Mccall,454 Delancey Pl,2000-01-14,516-543-2142
Jessica May,159-19 118th Ave,2000-07-01,516-970-9067
David Reed,3027 NE 9th Ave,1949-11-02,943-241-9964
Nicole Petersen,1411 E 16th St,1962-06-26,516-369-0105
Jill Jennifer Krause,112-15 Queens Blvd,1959-12-01,332-812-0247
Elizabeth Moran,273 Vanderbilt Ave,1968-12-23,315-533-6790
Megan Martinez,467A Union St,1981-05-17,838-853-7609
Amanda Montgomery,3184 7th Dr,1971-12-28,727-269-1978
Stephanie Skinner,3320A Flatbush Ave,1986-10-26,631-497-0333
Ashley Steele,41-28 40th St,1991-08-31,838-787-5223
Curtis Morton,4741 Park Way E,1960-04-24,410-779-6050
David Barrett,1492 NW 10th Way,1954-11-12,985-528-4077
Daniel Johnson,322 Park Ln,1972-08-08,747-241-0502
Kyle Long,1252B Clay Ave,1959-05-29,716-308-0521
Jodi Chaney,538 Van Nest Ave,1989-01-01,716-498-9413
Melinda Williams,1615 W 8th Ln,1949-06-25,540-457-3137
Ricky Gutierrez,2881A Schurz Ave,1968-07-14,631-295-2934
Robert Rivera Jr.,3880½ Broadway,1996-09-29,315-588-3514
Sergio Morales,17 Jackson Pl,1964-01-16,585-457-5486
Gabriel Edwards,2126A Gleason Ave,1969-09-23,838-348-3970
Peter Strong,1216 NE Park Ave,2001-05-10,682-755-0167
Matthew Brown,3551 E Park Way,1966-03-19,747-540-7409
David Herrera,110-46 Guy R Brewer Blvd,1969-01-04,315-405-2157
Cynthia Kennedy,2688 Mesquite Dr E,1961-03-25,928-837-3858
Michelle Dunn,107-40 Francis Lewis Blvd,1973-07-22,914-619-5579
Melissa Myers,1376 NW Park Way,1972-12-25,607-852-1301
Monica Davis,6 W 88th St,1981-11-14,516-383-1575
Justin Perez,402-1 Willow Rd E,1988-08-04,585-300-8492
Gina Martinez,155-22 Laburnum Ave,1983-12-23,646-267-0571
Alexis Wilson,9½ Bushwick Ave,1974-07-16,516-341-5165
Jason Watson,99-56 204th St,1947-12-27,631-402-9887
Martha Jones,1628 W 3rd St,1956-12-03,928-931-5827
Paul Boyd,61 Kent St,2001-03-28,516-569-5388
Melinda Williamson,1780 Quail Ln SW,1956-06-05,602-823-1551
Amanda Baird,4355 Park Dr,1944-01-27,831-370-9387
Carrie Hogan,113 W 33rd St,1992-04-21,585-611-6787
Edward Lowe II,4711 NW Park St,1987-01-26,279-496-7438
Laurie Crystal Rogers,536 Chauncey St,1944-03-28,914-898-1957
Steven Welch,89-57 89th St,1964-09-10,716-749-2012
Lisa Wagner,2305A Gleason Ave,1994-11-03,716-540-5240
Patricia Turner,422A Pulaski St,1959-12-09,516-700-5964
Kathleen Gay,100 4th Ave,1960-05-03,516-998-8315
Christina Mack,63 Hill St,1985-03-07,838-956-5329
Taylor Johnson,487 Park Ave,1998-10-03,612-273-4489
Rhonda Figueroa,3254 E Walnut Rd,1966-04-27,314-587-7001
Tammy Kemp,1505A Coney Island Ave,1987-08-14,838-725-7341
Jennifer Harris,3063 Park Way,1998-10-21,715-331-4363
Maria Owens,333 Newman Ave,1968-06-08,680-556-0403
Christina Juarez,666½ Lorimer St,1951-07-03,680-982-8910
Scott Clark Jr.,6607 Duryea Ct,1982-04-04,838-498-2723
Jill Chandler,1296A Ave Y,1973-05-24,631-468-5100
Alicia Dorsey,72-56 62nd St,1945-08-19,315-675-9930
Paula Butler,2371 Boynton Pl,1993-07-28,332-273-0904
Megan Solomon,26-20 83rd St,1992-07-04,914-696-2252
Daniel Valdez,84-52 Lefferts Blvd,1977-12-21,315-722-3701
Christopher Tucker Jr.,182 E Park Way,1942-07-31,820-615-1135
Allison Holt,758 E 77th St,1959-05-12,929-215-1506
Teresa Carr,14-42 31st St,1985-12-30,838-935-2350
Gabrielle Martinez,74-39 64th St,1992-10-07,315-847-8110
Walter Odonnell,2765A Decatur Ave,1994-01-15,680-968-2667
Kimberly Wells,3057 2nd Way,1966-06-03,731-393-9152
Jacqueline Patel,3657 NE 13th Rd,1969-09-07,430-877-4645
Cynthia Ballard,2553 W 2nd St,1974-10-27,607-394-7029
Gary Hunt,2219B Jerome Ave,1965-03-08,838-331-9061
Maria Richardson,371 E Tremont Ave,1965-07-10,716-875-9657
Walter Hill,539 12th Rd NW,1989-08-27,586-446-3896
Gary Robles,2090 W 1st St,1974-02-05,845-411-9716
William Duran,3731 Park Way,1974-06-04,308-371-0273
Donald Barber,688A Lafayette Ave,1999-06-04,516-267-0539
Stephanie Cox,2051 4th Rd,1967-06-13,704-597-7514
Ashley Coleman,1541A W 11th St,1978-06-29,332-977-3184
Melissa Waller,2616 S Park Way,1945-01-19,805-458-1585
Ethan Hawkins,67A E 7th St,1955-10-01,315-696-8162
Scott Reid,610 Truxton St,1984-12-27,347-274-3754
Andre Nelson,25-25 14th Pl,1988-02-22,838-767-1361
Judy Page,974 E 149th St,1973-05-16,516-779-4396
Timothy Ramirez Jr.,814 E 78th St,1999-03-20,838-694-4648
Daniel Dixon,1001 38th St,1973-07-19,516-639-5575
Antonio Reynolds IV,4046 N Park Dr,1957-02-11,516-451-9444
Sam Campbell Jr.,1128 E Park Ave,1987-04-19,680-610-0277
Matthew Munoz,4140 W Park Way,1969-09-24,447-908-4281
Jennifer Martinez,395C E Tremont Ave,1994-06-06,680-912-4081
Amanda Cardenas,4126A 16th Ave,1985-05-17,315-412-8002
James Roberts,856 Lorimer St,1980-11-13,716-222-7709
Haley Hudson,4765 SW Aspen St,1980-09-12,970-862-6200
Michelle Adams,2890 Sampson Ave,1999-02-04,315-744-3169
Lawrence Miller Jr.,1835 86th St,1984-12-25,631-662-8188
Suzanne Castillo,260B W 74th St,1973-07-19,516-953-8100
Gina Amber Braun,166 W 140th St,1962-11-26,315-860-2580
Debbie Jessica Davila,326 Troy Ave,1991-10-04,347-209-4572
George Jones,2764 Heath Ave,1940-11-01,716-353-6452
Jill Bell,5½ St Marks Pl,1993-05-18,838-306-3478
James Brown,246A Elizabeth St,1960-09-21,516-816-5059
Kathleen Huber,2207 Linden Blvd,1951-03-28,332-244-9457
Joe Cross,1014C Broadway,1964-02-13,838-900-6610
Joseph Rich,2015 Park Rd E,1997-11-30,315-867-2034
Carol Stephens,3594 E 13th Ln,1978-10-16,838-535-7051
Edwin Nguyen,161-45 134th Ave,1998-06-09,838-297-6134
Tracey Marks,114-8 Union Turnpike,1980-01-19,516-503-6881
Natalie Harvey,3785 Park Ln,1967-03-21,516-743-5229
Denise Washington,209-19 141st Ave,1990-07-20,838-359-6461
Carolyn Miller,4053 N Park Dr,1946-10-04,516-682-4737
Bradley Reeves,143½ E 89th St,1987-08-31,631-806-9609
Zachary Barr,666 Jerome St,1999-12-09,516-220-2050
Lisa Huber,116-21 109th Ave,1968-06-04,585-760-3706
Kimberly Haynes,2304 Park Ln,1990-03-24,838-989-9175
Kendra Waller,1287 Beaver Pl,1962-10-08,838-498-0912
Christopher Miller,110-64 Inwood St,1982-03-30,838-879-0134
John Marsh,24 Jefferson Ave,1990-05-18,914-310-9072
Logan Green,96-65 38th Ave,1953-11-17,516-454-7522
Robert Cherry,242 Hinsdale St,1997-12-02,680-577-4991
Bryan Macias,706 E 156th St,1939-01-20,716-360-2274
Trevor Graves,308 S Park Dr,1981-04-03,680-690-2438
Christopher Baker,466 64th St,1946-03-11,212-481-2602
Anna Osborne,11 Rear Devoe St,1963-05-19,838-286-1139
Angela Thompson,2544C Valentine Ave,1963-12-21,516-308-2493
Seth Brown,4848 Park St E,1990-01-14,458-464-0244
Tiffany Campbell,2953B Middletown Rd,1953-05-11,914-267-3688
Kathryn Singh,947B 40th St,1982-05-08,934-949-7362
Brian Murphy,2312 W Sunset Ave,1988-05-27,909-552-3598
Jessica Deleon,112 W 67th St,1957-06-20,680-391-7968
Victor Sparks III,1841 Prospect Ave,1952-04-17,914-399-0539
Michele Williams,161 Adelphi St,1953-08-23,607-282-3666
Heather Howell,3686 5th St SW,1982-05-27,680-200-9420
Ryan Jones,382 Bond St,1963-12-27,516-230-3752
Mike Terrell,3995 10th Ave,1962-04-23,838-929-2828
Sean West,795 Cortelyou Rd,1967-10-10,315-837-8072
Ashley Brown,1880 3rd Ave,1948-04-01,838-870-4058
Katrina Serrano,1009 Kelly St,1966-12-26,646-239-1590
Allison Martinez,1443A Hicks St,1984-10-03,315-202-5347
Jennifer Morris,144-33 75th Ave,1958-11-07,914-403-0235
Alicia Robinson,75 Greenwich Ave,1953-12-19,914-727-2760
Kyle Cunningham,1802 Yates Ave,1997-09-27,838-285-1551
Michael Holmes III,19 Chester Ct,1971-11-03,718-592-7121
Angela Smith,249-31 Rushmore Terrace,1970-10-28,315-715-2850
Matthew Jones,684 SW Park Ln,1958-02-06,447-857-6328
Johnathan Fitzgerald,2316 Coney Island Ave,1994-04-28,315-936-2828
Samuel Bennett,381 Marcy Ave,1969-11-24,607-362-9290
Leslie Smith,1335 W 11th Rd,1987-02-11,678-350-8164
Brad Gonzalez,118-56 34th Ave,1951-09-27,516-225-6196
Terry Owen,1A St Marks Pl,1997-01-27,516-775-5566
Thomas Donovan,200 Riverside Blvd,1958-07-09,838-659-2893
Sandra Weaver,90-53 53rd Ave,1959-09-03,914-353-4533
Krista Cruz,26 Powell St,1989-08-02,838-773-9087
Amanda Johnston,488 S 12th St,1961-09-27,561-811-4284
Meredith Molina,4890 SW Park Pl,1961-09-22,680-998-2937
Rhonda Wade,4060C Broadway,1988-06-28,516-518-5840
Douglas Greene,23 Mount Hope Pl,2001-07-28,680-938-5548
Timothy Pittman,138-5 Booth Memorial Ave,1956-04-03,516-200-2893
Kimberly Barnett,4162 N 5th Way,1987-01-08,617-589-4483
George Collins,423 Menahan St,1959-07-15,585-399-5410
Kyle Landry,8111 19th Ave,1967-11-25,585-216-6270
Donald Garcia,4133 SW Main Ave,1981-01-09,801-908-7982
Cameron Brown,1629 St Nicholas Ave,2000-11-28,315-993-5715
Brian Adams,34-34 Cornell Ln,1956-12-17,838-282-6260
Kathleen Werner,20-63 20th St,1941-04-25,680-979-4751
Christopher Silva,825 Oak Ave N,1955-02-25,408-228-3820
Valerie Christine Wood,2000 SE Park St,1998-07-19,516-240-8458
Catherine Terrell,89 Rear Buffalo Ave,1969-08-13,838-917-7480
Heather Gardner,740 St Johns Pl,1964-11-11,646-258-7685
Pamela Watson,243 Montrose Ave,1991-09-16,516-704-0761
Brian Harrison,1490 Maple Dr,2001-10-02,734-689-1849
Justin Wu,645 Mead St,1948-02-18,631-640-8272
Cheryl Moran,762A 65th St,1960-11-26,914-629-5704
Kenneth Trujillo,150-62 77th Ave,1970-10-07,516-864-6012
Frank Barton,1078A Carlton Blvd,1993-10-02,315-902-8602
Shawn Larson Jr.,1643 12th Ln SW,1946-02-03,682-855-4222
Nicole Johnston,627B E 53rd St,1952-12-01,315-690-8035
Brenda Maria Carroll,3019 Park Ave,1958-03-28,716-283-2595
Tracy Crawford,53A E 119th St,1990-07-03,315-494-4733
Erin Kristen Fields,49-24 Vernon Blvd,1939-06-02,518-705-0256
Michael Thompson,2094B 3rd Ave,1960-12-10,838-332-4611
Franklin Shea,481A E 24th St,1949-08-31,516-862-0052
Julie Parrish,473 Victory Blvd,1953-07-31,845-481-8878
Raymond Davis,1133 S Lee Ln,1952-10-30,434-284-7401
Ryan Zuniga,2357 SW Maple Way,1960-01-13,517-578-1535
Tiffany Young,295 W 75th St,1945-11-06,914-820-3527
Angela Patterson,2548 5th Ln SW,1988-03-20,831-330-4156
Maria Mckinney,740B Columbia St,1968-03-31,838-838-4367
David Wilkins,546C Conduit Blvd,1991-03-16,914-660-1250
Travis Baker,2631 Heath Ave,1990-12-30,929-932-2029
Stacy Richards,648A Columbus Ave,1938-03-05,315-550-7496
Kevin Stevens,273A E 23rd St,1996-10-13,631-898-0441
Steven Smith,205½ N 5th St,1951-09-17,716-563-0520
Gerald Berg,1479A Putnam Ave,1953-07-21,516-249-9531
Janice Carpenter,265A Henry St,1950-02-13,631-769-5766
Brittney Wilson,562 Maple Way,1968-06-13,878-281-2903
Brian Smith III,618 Lafayette Ave,1974-08-10,212-818-9266
Adam Morales,98 S End Ave,1995-01-27,716-339-6092
Todd Montgomery II,2238 Vanderveer Pl,1943-09-25,845-602-1714
Shawn Armstrong,2276 W Park Way,1973-06-05,310-490-1175
Mary Benton,1150 1st Dr,1997-07-20,801-640-5422
Kathleen Mcdonald,58A Troy Ave,1958-07-06,631-230-9301
Alejandro Bates,1548 Mcdonald St,1971-05-28,838-618-4971
Harold Hansen,1831B Amsterdam Ave,1943-10-10,332-438-7675
